league,season,team,game,date,round,day,venue,result,GF,GA,opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,time,match_report
,2022,Costa Rica,2022-01-30 Mexico-Costa Rica,2022-01-30,Third round,Sun,Away,D,0,0,Mexico,,0,,,1,0,0,0,0,17:00:00,/en/matches/1e29286c/Mexico-Costa-Rica-January-30-2022-WCQ----CONCACAF-M
,2022,Costa Rica,2022-02-02 Jamaica-Costa Rica,2022-02-02,Third round,Wed,Away,W,1,0,Jamaica,,0,,,1,0,0,0,0,19:00:00,/en/matches/a423157f/Jamaica-Costa-Rica-February-2-2022-WCQ----CONCACAF-M
,2022,Costa Rica,2022-03-24 Costa Rica-Canada,2022-03-24,Third round,Thu,Home,W,1,0,Canada,,0,,,1,0,0,0,0,20:05:00,/en/matches/a251d489/Costa-Rica-Canada-March-24-2022-WCQ----CONCACAF-M
,2022,Costa Rica,2022-03-27 El Salvador-Costa Rica,2022-03-27,Third round,Sun,Away,W,2,1,El Salvador,,1,,,0,0,0,0,0,15:05:00,/en/matches/d7623d35/El-Salvador-Costa-Rica-March-27-2022-WCQ----CONCACAF-M
,2022,Costa Rica,2022-03-30 Costa Rica-United States,2022-03-30,Third round,Wed,Home,W,2,0,United States,,,,,2,0,0,0,0,19:05:00,/en/matches/5931a7e7/Costa-Rica-United-States-March-30-2022-WCQ----CONCACAF-M
,2022,Costa Rica,2022-06-14 New Zealand-New Zealand,2022-06-14,WCQ — Inter-confederation play-offs (M),Tue,Neutral,W,1,0,New Zealand,,0,,,1,0,0,0,0,21:00:00,/en/matches/1e79b33e/Costa-Rica-New-Zealand-June-14-2022-FIFA-World-Cup-qualification----Inter-confederation-play-offs
,2022,Costa Rica,2022-09-23 Korea Republic-Korea Republic,2022-09-23,Friendlies (M),Fri,Neutral,D,2,2,Korea Republic,,,,,0,0,0,0,0,20:00:00,/en/matches/ce791cfe/Korea-Republic-Costa-Rica-September-23-2022-Friendlies-M
,2022,Costa Rica,2022-09-27 Uzbekistan-Uzbekistan,2022-09-27,Friendlies (M),Tue,Neutral,W,2,1,Uzbekistan,,,,,0,0,0,0,0,15:00:00,/en/matches/68ec3dfa/Uzbekistan-Costa-Rica-September-27-2022-Friendlies-M
,2022,Costa Rica,2022-11-09 Nigeria-Nigeria,2022-11-09,Friendlies (M),Wed,Neutral,W,2,0,Nigeria,,0,,,1,0,0,0,0,20:00:00,/en/matches/7700449a/Costa-Rica-Nigeria-November-9-2022-Friendlies-M
,2022,Costa Rica,2022-11-23 Spain-Spain,2022-11-23,Group stage,Wed,Neutral,L,0,7,Spain,8,7,1,12.5,0,1,1,0,0,19:00:00,/en/matches/dadb1883/Spain-Costa-Rica-November-23-2022-World-Cup
,2022,Costa Rica,2022-11-27 Japan-Japan,2022-11-27,Group stage,Sun,Neutral,W,1,0,Japan,3,0,3,100.0,1,0,0,0,0,13:00:00,/en/matches/d56309f4/Japan-Costa-Rica-November-27-2022-World-Cup
,2022,Costa Rica,2022-12-01 Germany-Germany,2022-12-01,Group stage,Thu,Neutral,L,2,4,Germany,11,4,7,63.6,0,0,0,0,0,22:00:00,/en/matches/6a2a024f/Costa-Rica-Germany-December-1-2022-World-Cup
,2022,Croatia,2021-03-24 Slovenia-Croatia,2021-03-24,First round,Wed,Away,L,0,1,Slovenia,4,1,3,75.0,0,0,0,0,0,20:45:00,/en/matches/af849b86/Slovenia-Croatia-March-24-2021-WCQ----UEFA-M
,2022,Croatia,2021-03-27 Croatia-Cyprus,2021-03-27,First round,Sat,Home,W,1,0,Cyprus,2,0,2,100.0,1,0,0,0,0,18:00:00,/en/matches/466f9e2d/Croatia-Cyprus-March-27-2021-WCQ----UEFA-M
,2022,Croatia,2021-03-30 Croatia-Malta,2021-03-30,First round,Tue,Home,W,3,0,Malta,1,0,1,100.0,1,0,0,0,0,20:45:00,/en/matches/74c5967f/Croatia-Malta-March-30-2021-WCQ----UEFA-M
,2022,Croatia,2021-09-01 Russia-Croatia,2021-09-01,First round,Wed,Away,D,0,0,Russia,3,0,3,100.0,1,0,0,0,0,21:45:00,/en/matches/8188ce4b/Russia-Croatia-September-1-2021-WCQ----UEFA-M
,2022,Croatia,2021-09-04 Slovakia-Croatia,2021-09-04,First round,Sat,Away,W,1,0,Slovakia,4,0,4,100.0,1,0,0,0,0,20:45:00,/en/matches/f98b38d7/Slovakia-Croatia-September-4-2021-WCQ----UEFA-M
,2022,Croatia,2021-09-07 Croatia-Slovenia,2021-09-07,First round,Tue,Home,W,3,0,Slovenia,2,0,2,100.0,1,0,0,0,0,20:45:00,/en/matches/eaa3b446/Croatia-Slovenia-September-7-2021-WCQ----UEFA-M
,2022,Croatia,2021-10-08 Cyprus-Croatia,2021-10-08,First round,Fri,Away,W,3,0,Cyprus,1,0,1,100.0,1,0,0,0,0,21:45:00,/en/matches/ccb8dca6/Cyprus-Croatia-October-8-2021-WCQ----UEFA-M
,2022,Croatia,2021-10-11 Croatia-Slovakia,2021-10-11,First round,Mon,Home,D,2,2,Slovakia,2,2,0,0.0,0,0,0,0,0,20:45:00,/en/matches/dc3493d3/Croatia-Slovakia-October-11-2021-WCQ----UEFA-M
,2022,Croatia,2021-11-11 Malta-Croatia,2021-11-11,First round,Thu,Away,W,7,1,Malta,1,1,0,0.0,0,0,0,0,0,20:45:00,/en/matches/a8ec4ca7/Malta-Croatia-November-11-2021-WCQ----UEFA-M
,2022,Croatia,2021-11-14 Croatia-Russia,2021-11-14,First round,Sun,Home,W,1,0,Russia,0,0,0,,1,0,0,0,0,15:00:00,/en/matches/0b829dc1/Croatia-Russia-November-14-2021-WCQ----UEFA-M
,2022,Croatia,2022-03-26 Slovenia-Slovenia,2022-03-26,Friendlies (M),Sat,Neutral,D,1,1,Slovenia,,1,,,0,0,0,0,0,17:00:00,/en/matches/cde56311/Croatia-Slovenia-March-26-2022-Friendlies-M
,2022,Croatia,2022-03-29 Bulgaria-Bulgaria,2022-03-29,Friendlies (M),Tue,Neutral,W,2,1,Bulgaria,,1,,,0,0,0,0,0,17:00:00,/en/matches/70605959/Croatia-Bulgaria-March-29-2022-Friendlies-M
