league,season,team,game,date,round,day,venue,result,GF,GA,opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,time,match_report
,2018,Argentina,2017-08-31 Uruguay-Argentina,2017-08-31,WCQ — CONMEBOL (M),Thu,Away,D,0,0,Uruguay,0,,,,,,0,0,20:00:00,/en/matches/0e60f5fa/Uruguay-Argentina-August-31-2017-WCQ----CONMEBOL-M
,2018,Argentina,2017-09-05 Argentina-Venezuela,2017-09-05,WCQ — CONMEBOL (M),Tue,Home,D,1,1,Venezuela,0,,,,,,0,0,20:30:00,/en/matches/5a477d80/Argentina-Venezuela-September-5-2017-WCQ----CONMEBOL-M
,2018,Argentina,2017-10-05 Argentina-Peru,2017-10-05,WCQ — CONMEBOL (M),Thu,Home,D,0,0,Peru,0,,,,,,0,0,20:30:00,/en/matches/802fa6e6/Argentina-Peru-October-5-2017-WCQ----CONMEBOL-M
,2018,Argentina,2017-10-10 Ecuador-Argentina,2017-10-10,WCQ — CONMEBOL (M),Tue,Away,W,3,1,Ecuador,3,,,,,,0,0,18:30:00,/en/matches/9fc3156a/Ecuador-Argentina-October-10-2017-WCQ----CONMEBOL-M
,2018,Argentina,2018-03-23 Argentina-Italy,2018-03-23,Friendlies (M),Fri,Home,W,2,0,Italy,2,,,,,,0,0,19:45:00,/en/matches/62a13fba/Argentina-Italy-March-23-2018-Friendlies-M
,2018,Argentina,2018-03-27 Spain-Argentina,2018-03-27,Friendlies (M),Tue,Away,L,1,6,Spain,1,,,,,,0,0,21:30:00,/en/matches/b28cf1a9/Spain-Argentina-March-27-2018-Friendlies-M
,2018,Argentina,2018-05-29 Argentina-Haiti,2018-05-29,Friendlies (M),Tue,Home,W,4,0,Haiti,4,,,,,,1,1,20:00:00,/en/matches/8aac67e0/Argentina-Haiti-May-29-2018-Friendlies-M
,2018,Argentina,2018-06-16 Iceland-Iceland,2018-06-16,Group stage,Sat,Neutral,D,1,1,Iceland,1,27,7,25.9,0.04,0.14,0,1,16:00:00,/en/matches/1b352279/Argentina-Iceland-June-16-2018-World-Cup
,2018,Argentina,2018-06-21 Croatia-Croatia,2018-06-21,Group stage,Thu,Neutral,L,0,3,Croatia,0,10,3,30.0,0.0,0.0,0,0,21:00:00,/en/matches/c4ec1ec2/Argentina-Croatia-June-21-2018-World-Cup
,2018,Argentina,2018-06-26 Nigeria-Nigeria,2018-06-26,Group stage,Tue,Neutral,W,2,1,Nigeria,2,8,4,50.0,0.25,0.5,0,0,21:00:00,/en/matches/1185d834/Nigeria-Argentina-June-26-2018-World-Cup
,2018,Argentina,2018-06-30 France-France,2018-06-30,Round of 16,Sat,Neutral,L,3,4,France,3,10,4,40.0,0.3,0.75,0,0,17:00:00,/en/matches/1c9745ea/France-Argentina-June-30-2018-World-Cup
,2018,Argentina,2018-09-07 Argentina-Guatemala,2018-09-07,Friendlies (M),Fri,Home,W,3,0,Guatemala,3,,,,,,1,1,19:45:00,/en/matches/8bd2984d/Argentina-Guatemala-September-7-2018-Friendlies-M
,2018,Argentina,2018-09-11 Colombia-Argentina,2018-09-11,Friendlies (M),Tue,Away,D,0,0,Colombia,0,,,,,,0,0,20:00:00,/en/matches/19cfecf5/Colombia-Argentina-September-11-2018-Friendlies-M
,2018,Argentina,2018-10-11 Iraq-Argentina,2018-10-11,Friendlies (M),Thu,Away,W,4,0,Iraq,4,,,,,,0,0,21:00:00,/en/matches/617adb0a/Iraq-Argentina-October-11-2018-Friendlies-M
,2018,Argentina,2018-11-16 Argentina-Mexico,2018-11-16,Friendlies (M),Fri,Home,W,2,0,Mexico,1,,,,,,0,0,21:00:00,/en/matches/9b7cd617/Argentina-Mexico-November-16-2018-Friendlies-M
,2018,Argentina,2018-11-20 Argentina-Mexico,2018-11-20,Friendlies (M),Tue,Home,W,2,0,Mexico,2,,,,,,0,0,21:00:00,/en/matches/7514ca60/Argentina-Mexico-November-20-2018-Friendlies-M
,2018,Australia,2015-06-16 Kyrgyz Republic-Australia,2015-06-16,Second round,Tue,Away,W,2,1,Kyrgyz Republic,2,,,,,,0,0,20:00:00,/en/matches/b4c98195/Kyrgyz-Republic-Australia-June-16-2015-WCQ----AFC-M
,2018,Australia,2015-09-03 Australia-Bangladesh,2015-09-03,Second round,Thu,Home,W,5,0,Bangladesh,5,,,,,,0,0,19:00:00,/en/matches/9c11574b/Australia-Bangladesh-September-3-2015-WCQ----AFC-M
,2018,Australia,2015-09-08 Tajikistan-Australia,2015-09-08,Second round,Tue,Away,W,3,0,Tajikistan,3,,,,,,0,0,18:00:00,/en/matches/59a50bf0/Tajikistan-Australia-September-8-2015-WCQ----AFC-M
,2018,Australia,2015-10-08 Jordan-Australia,2015-10-08,Second round,Thu,Away,L,0,2,Jordan,0,,,,,,0,0,17:00:00,/en/matches/930c4d21/Jordan-Australia-October-8-2015-WCQ----AFC-M
,2018,Australia,2015-11-12 Australia-Kyrgyz Republic,2015-11-12,Second round,Thu,Home,W,3,0,Kyrgyz Republic,2,,,,,,1,1,20:00:00,/en/matches/575466ab/Australia-Kyrgyz-Republic-November-12-2015-WCQ----AFC-M
,2018,Australia,2015-11-17 Bangladesh-Australia,2015-11-17,Second round,Tue,Away,W,4,0,Bangladesh,4,,,,,,0,0,17:30:00,/en/matches/f5255189/Bangladesh-Australia-November-17-2015-WCQ----AFC-M
,2018,Australia,2016-03-24 Australia-Tajikistan,2016-03-24,Second round,Thu,Home,W,7,0,Tajikistan,7,,,,,,2,2,19:30:00,/en/matches/9aa0b5f2/Australia-Tajikistan-March-24-2016-WCQ----AFC-M
,2018,Australia,2016-03-29 Australia-Jordan,2016-03-29,Second round,Tue,Home,W,5,1,Jordan,5,,,,,,0,0,20:00:00,/en/matches/4cbcdecd/Australia-Jordan-March-29-2016-WCQ----AFC-M
,2018,Australia,2016-09-01 Australia-Iraq,2016-09-01,Third round,Thu,Home,W,2,0,Iraq,2,,,,,,0,0,18:30:00,/en/matches/70d34cfb/Australia-Iraq-September-1-2016-WCQ----AFC-M
,2018,Australia,2016-09-06 UAE-Australia,2016-09-06,Third round,Tue,Away,W,1,0,UAE,1,,,,,,0,0,19:30:00,/en/matches/2f5e97d1/United-Arab-Emirates-Australia-September-6-2016-WCQ----AFC-M
,2018,Australia,2016-10-06 Saudi Arabia-Australia,2016-10-06,Third round,Thu,Away,D,2,2,Saudi Arabia,2,,,,,,0,0,20:45:00,/en/matches/99392684/Saudi-Arabia-Australia-October-6-2016-WCQ----AFC-M
,2018,Australia,2016-10-11 Australia-Japan,2016-10-11,Third round,Tue,Home,D,1,1,Japan,1,,,,,,1,1,20:00:00,/en/matches/90e39134/Australia-Japan-October-11-2016-WCQ----AFC-M
,2018,Australia,2016-11-15 Thailand-Australia,2016-11-15,Third round,Tue,Away,D,2,2,Thailand,2,,,,,,2,2,19:00:00,/en/matches/6c0eaf44/Thailand-Australia-November-15-2016-WCQ----AFC-M
,2018,Australia,2017-03-23 Iraq-Australia,2017-03-23,Third round,Thu,Away,D,1,1,Iraq,1,,,,,,0,0,16:30:00,/en/matches/b684b8d6/Iraq-Australia-March-23-2017-WCQ----AFC-M
,2018,Australia,2017-03-28 Australia-UAE,2017-03-28,Third round,Tue,Home,W,2,0,UAE,2,,,,,,0,0,20:00:00,/en/matches/7513c72b/Australia-United-Arab-Emirates-March-28-2017-WCQ----AFC-M
,2018,Australia,2017-06-08 Australia-Saudi Arabia,2017-06-08,Third round,Thu,Home,W,3,2,Saudi Arabia,3,,,,,,0,0,19:30:00,/en/matches/8ef789d0/Australia-Saudi-Arabia-June-8-2017-WCQ----AFC-M
,2018,Australia,2017-08-31 Japan-Australia,2017-08-31,Third round,Thu,Away,L,0,2,Japan,0,,,,,,0,0,19:35:00,/en/matches/10488603/Japan-Australia-August-31-2017-WCQ----AFC-M
,2018,Australia,2017-09-05 Australia-Thailand,2017-09-05,Third round,Tue,Home,W,2,1,Thailand,2,,,,,,0,0,20:00:00,/en/matches/6f88041c/Australia-Thailand-September-5-2017-WCQ----AFC-M
,2018,Australia,2017-10-05 Syria-Australia,2017-10-05,Fourth round,Thu,Away,D,1,1,Syria,1,,,,,,0,0,20:30:00,/en/matches/e3fc3f5a/Syria-Australia-October-5-2017-WCQ----AFC-M
,2018,Australia,2017-10-10 Australia-Syria,2017-10-10,Fourth round,Tue,Home,W,2,1,Syria,2,,,,,,0,0,20:00:00,/en/matches/12273a45/Australia-Syria-October-10-2017-WCQ----AFC-M
,2018,Australia,2018-03-23 Norway-Australia,2018-03-23,Friendlies (M),Fri,Away,L,1,4,Norway,1,,,,,,0,0,18:00:00,/en/matches/50793a5a/Norway-Australia-March-23-2018-Friendlies-M
,2018,Australia,2018-03-27 Colombia-Australia,2018-03-27,Friendlies (M),Tue,Away,D,0,0,Colombia,0,,,,,,0,0,20:00:00,/en/matches/b24e5c7c/Colombia-Australia-March-27-2018-Friendlies-M
,2018,Australia,2018-06-01 Australia-Czechia,2018-06-01,Friendlies (M),Fri,Home,W,4,0,Czechia,3,,,,,,0,0,13:00:00,/en/matches/fee04f03/Australia-Czechia-June-1-2018-Friendlies-M
,2018,Australia,2018-06-09 Hungary-Australia,2018-06-09,Friendlies (M),Sat,Away,W,2,1,Hungary,1,,,,,,0,0,17:30:00,/en/matches/a7ed09f9/Hungary-Australia-June-9-2018-Friendlies-M
,2018,Australia,2018-06-16 France-France,2018-06-16,Group stage,Sat,Neutral,L,1,2,France,1,6,1,16.7,0.0,0.0,1,1,13:00:00,/en/matches/99aa0597/France-Australia-June-16-2018-World-Cup
,2018,Australia,2018-06-21 Denmark-Denmark,2018-06-21,Group stage,Thu,Neutral,D,1,1,Denmark,1,12,4,33.3,0.0,0.0,1,1,16:00:00,/en/matches/85bb652d/Denmark-Australia-June-21-2018-World-Cup
,2018,Australia,2018-06-26 Peru-Peru,2018-06-26,Group stage,Tue,Neutral,L,0,2,Peru,0,14,2,14.3,0.0,0.0,0,0,17:00:00,/en/matches/a3abd3b3/Australia-Peru-June-26-2018-World-Cup
,2018,Australia,2018-10-15 Kuwait-Australia,2018-10-15,Friendlies (M),Mon,Away,W,4,0,Kuwait,3,,,,,,0,0,19:30:00,/en/matches/147c51ea/Kuwait-Australia-October-15-2018-Friendlies-M
,2018,Australia,2018-11-17 Australia-Korea Republic,2018-11-17,Friendlies (M),Sat,Home,D,1,1,Korea Republic,1,,,,,,0,0,18:50:00,/en/matches/9d4687ec/Australia-Korea-Republic-November-17-2018-Friendlies-M
,2018,Australia,2018-11-20 Australia-Lebanon,2018-11-20,Friendlies (M),Tue,Home,W,3,0,Lebanon,3,,,,,,0,0,19:50:00,/en/matches/e93873f7/Australia-Lebanon-November-20-2018-Friendlies-M
,2018,Australia,2018-12-30 Oman-Oman,2018-12-30,Friendlies (M),Sun,Neutral,W,5,0,Oman,5,,,,,,0,0,16:00:00,/en/matches/1fe4b7c3/Australia-Oman-December-30-2018-Friendlies-M
,2018,Belgium,2016-09-06 Cyprus-Belgium,2016-09-06,First round,Tue,Away,W,3,0,Cyprus,3,,,,,,0,1,21:45:00,/en/matches/6b593e31/Cyprus-Belgium-September-6-2016-WCQ----UEFA-M
,2018,Belgium,2016-10-07 Belgium-Bosnia–Herz,2016-10-07,First round,Fri,Home,W,4,0,Bosnia–Herz,3,,,,,,0,0,20:45:00,/en/matches/e36db3e0/Belgium-Bosnia-and-Herzegovina-October-7-2016-WCQ----UEFA-M
,2018,Belgium,2016-10-10 Gibraltar-Belgium,2016-10-10,First round,Mon,Away,W,6,0,Gibraltar,6,,,,,,0,0,19:45:00,/en/matches/ef77a12c/Gibraltar-Belgium-October-10-2016-WCQ----UEFA-M
,2018,Belgium,2016-11-13 Belgium-Estonia,2016-11-13,First round,Sun,Home,W,8,1,Estonia,7,,,,,,0,0,20:45:00,/en/matches/01579c5e/Belgium-Estonia-November-13-2016-WCQ----UEFA-M
,2018,Belgium,2017-03-25 Belgium-Greece,2017-03-25,First round,Sat,Home,D,1,1,Greece,1,,,,,,0,0,20:45:00,/en/matches/51f2755d/Belgium-Greece-March-25-2017-WCQ----UEFA-M
,2018,Belgium,2017-06-09 Estonia-Belgium,2017-06-09,First round,Fri,Away,W,2,0,Estonia,2,,,,,,0,0,21:45:00,/en/matches/9bd1fcd2/Estonia-Belgium-June-9-2017-WCQ----UEFA-M
,2018,Belgium,2017-08-31 Belgium-Gibraltar,2017-08-31,First round,Thu,Home,W,9,0,Gibraltar,9,,,,,,1,1,20:45:00,/en/matches/9753cf97/Belgium-Gibraltar-August-31-2017-WCQ----UEFA-M
,2018,Belgium,2017-09-03 Greece-Belgium,2017-09-03,First round,Sun,Away,W,2,1,Greece,2,,,,,,0,0,21:45:00,/en/matches/f05db8db/Greece-Belgium-September-3-2017-WCQ----UEFA-M
,2018,Belgium,2017-10-07 Bosnia–Herz-Belgium,2017-10-07,First round,Sat,Away,W,4,3,Bosnia–Herz,4,,,,,,0,0,18:00:00,/en/matches/8b00f131/Bosnia-and-Herzegovina-Belgium-October-7-2017-WCQ----UEFA-M
,2018,Belgium,2017-10-10 Belgium-Cyprus,2017-10-10,First round,Tue,Home,W,4,0,Cyprus,4,,,,,,1,1,20:45:00,/en/matches/336da404/Belgium-Cyprus-October-10-2017-WCQ----UEFA-M
,2018,Belgium,2018-03-27 Belgium-Saudi Arabia,2018-03-27,Friendlies (M),Tue,Home,W,4,0,Saudi Arabia,4,,,,,,0,0,20:45:00,/en/matches/7ec486aa/Belgium-Saudi-Arabia-March-27-2018-Friendlies-M
,2018,Belgium,2018-06-02 Belgium-Portugal,2018-06-02,Friendlies (M),Sat,Home,D,0,0,Portugal,0,,,,,,0,0,20:45:00,/en/matches/afb90adc/Belgium-Portugal-June-2-2018-Friendlies-M
,2018,Belgium,2018-06-06 Belgium-Egypt,2018-06-06,Friendlies (M),Wed,Home,W,3,0,Egypt,3,,,,,,0,0,20:45:00,/en/matches/bd53106c/Belgium-Egypt-June-6-2018-Friendlies-M
,2018,Belgium,2018-06-11 Belgium-Costa Rica,2018-06-11,Friendlies (M),Mon,Home,W,4,1,Costa Rica,4,,,,,,0,0,20:45:00,/en/matches/31b00414/Belgium-Costa-Rica-June-11-2018-Friendlies-M
,2018,Belgium,2018-06-18 Panama-Panama,2018-06-18,Group stage,Mon,Neutral,W,3,0,Panama,3,15,6,40.0,0.2,0.5,0,0,18:00:00,/en/matches/fe0f9213/Belgium-Panama-June-18-2018-World-Cup
,2018,Belgium,2018-06-23 Tunisia-Tunisia,2018-06-23,Group stage,Sat,Neutral,W,5,2,Tunisia,5,23,12,52.2,0.17,0.33,1,1,15:00:00,/en/matches/f9b97a12/Belgium-Tunisia-June-23-2018-World-Cup
,2018,Belgium,2018-06-28 England-England,2018-06-28,Group stage,Thu,Neutral,W,1,0,England,1,14,4,28.6,0.07,0.25,0,0,20:00:00,/en/matches/5c20eb91/England-Belgium-June-28-2018-World-Cup
,2018,Belgium,2018-07-02 Japan-Japan,2018-07-02,Round of 16,Mon,Neutral,W,3,2,Japan,3,24,8,33.3,0.13,0.38,0,0,21:00:00,/en/matches/1fd23151/Belgium-Japan-July-2-2018-World-Cup
,2018,Belgium,2018-07-06 Brazil-Brazil,2018-07-06,Quarter-finals,Fri,Neutral,W,2,1,Brazil,1,9,3,33.3,0.11,0.33,0,0,21:00:00,/en/matches/6fa6550c/Brazil-Belgium-July-6-2018-World-Cup
,2018,Belgium,2018-07-10 France-France,2018-07-10,Semi-finals,Tue,Neutral,L,0,1,France,0,9,3,33.3,0.0,0.0,0,0,21:00:00,/en/matches/605079c0/France-Belgium-July-10-2018-World-Cup
,2018,Belgium,2018-07-14 England-England,2018-07-14,Third-place match,Sat,Neutral,W,2,0,England,2,12,4,33.3,0.17,0.5,0,0,17:00:00,/en/matches/bc417615/Belgium-England-July-14-2018-World-Cup
,2018,Belgium,2018-09-07 Scotland-Belgium,2018-09-07,Friendlies (M),Fri,Away,W,4,0,Scotland,4,,,,,,0,0,19:45:00,/en/matches/bf47e272/Scotland-Belgium-September-7-2018-Friendlies-M
,2018,Belgium,2018-10-16 Belgium-Netherlands,2018-10-16,Friendlies (M),Tue,Home,D,1,1,Netherlands,1,,,,,,0,0,20:45:00,/en/matches/7c2e74dc/Belgium-Netherlands-October-16-2018-Friendlies-M
,2018,Brazil,2015-10-08 Chile-Brazil,2015-10-08,WCQ — CONMEBOL (M),Thu,Away,L,0,2,Chile,0,,,,,,0,0,20:30:00,/en/matches/810105a8/Chile-Brazil-October-8-2015-WCQ----CONMEBOL-M
,2018,Brazil,2015-10-13 Brazil-Venezuela,2015-10-13,WCQ — CONMEBOL (M),Tue,Home,W,3,1,Venezuela,3,,,,,,0,0,22:00:00,/en/matches/35831316/Brazil-Venezuela-October-13-2015-WCQ----CONMEBOL-M
,2018,Brazil,2015-11-13 Argentina-Brazil,2015-11-13,WCQ — CONMEBOL (M),Fri,Away,D,1,1,Argentina,1,,,,,,0,0,21:00:00,/en/matches/64e9f118/Argentina-Brazil-November-13-2015-WCQ----CONMEBOL-M
,2018,Brazil,2015-11-17 Brazil-Peru,2015-11-17,WCQ — CONMEBOL (M),Tue,Home,W,3,0,Peru,3,,,,,,0,0,21:00:00,/en/matches/4c50ddb1/Brazil-Peru-November-17-2015-WCQ----CONMEBOL-M
,2018,Brazil,2016-03-25 Brazil-Uruguay,2016-03-25,WCQ — CONMEBOL (M),Fri,Home,D,2,2,Uruguay,2,,,,,,0,0,21:45:00,/en/matches/6d33daf1/Brazil-Uruguay-March-25-2016-WCQ----CONMEBOL-M
,2018,Brazil,2016-03-29 Paraguay-Brazil,2016-03-29,WCQ — CONMEBOL (M),Tue,Away,D,2,2,Paraguay,2,,,,,,0,0,20:45:00,/en/matches/5c5a30ab/Paraguay-Brazil-March-29-2016-WCQ----CONMEBOL-M
,2018,Brazil,2016-09-01 Ecuador-Brazil,2016-09-01,WCQ — CONMEBOL (M),Thu,Away,W,3,0,Ecuador,3,,,,,,1,1,16:00:00,/en/matches/ce66d3f3/Ecuador-Brazil-September-1-2016-WCQ----CONMEBOL-M
,2018,Brazil,2016-09-06 Brazil-Colombia,2016-09-06,WCQ — CONMEBOL (M),Tue,Home,W,2,1,Colombia,2,,,,,,0,0,20:45:00,/en/matches/0f17b553/Brazil-Colombia-September-6-2016-WCQ----CONMEBOL-M
,2018,Brazil,2016-10-06 Brazil-Bolivia,2016-10-06,WCQ — CONMEBOL (M),Thu,Home,W,5,0,Bolivia,5,,,,,,0,0,21:45:00,/en/matches/7b8fab6c/Brazil-Bolivia-October-6-2016-WCQ----CONMEBOL-M
,2018,Brazil,2016-10-11 Venezuela-Brazil,2016-10-11,WCQ — CONMEBOL (M),Tue,Away,W,2,0,Venezuela,2,,,,,,0,0,20:30:00,/en/matches/5f23c147/Venezuela-Brazil-October-11-2016-WCQ----CONMEBOL-M
,2018,Brazil,2016-11-10 Brazil-Argentina,2016-11-10,WCQ — CONMEBOL (M),Thu,Home,W,3,0,Argentina,3,,,,,,0,0,21:45:00,/en/matches/20ff1a11/Brazil-Argentina-November-10-2016-WCQ----CONMEBOL-M
,2018,Brazil,2016-11-15 Peru-Brazil,2016-11-15,WCQ — CONMEBOL (M),Tue,Away,W,2,0,Peru,2,,,,,,0,0,21:15:00,/en/matches/2ee90b8e/Peru-Brazil-November-15-2016-WCQ----CONMEBOL-M
,2018,Brazil,2017-03-23 Uruguay-Brazil,2017-03-23,WCQ — CONMEBOL (M),Thu,Away,W,4,1,Uruguay,4,,,,,,0,0,20:00:00,/en/matches/11abe61a/Uruguay-Brazil-March-23-2017-WCQ----CONMEBOL-M
,2018,Brazil,2017-03-28 Brazil-Paraguay,2017-03-28,WCQ — CONMEBOL (M),Tue,Home,W,3,0,Paraguay,3,,,,,,0,1,21:45:00,/en/matches/0dd7b05c/Brazil-Paraguay-March-28-2017-WCQ----CONMEBOL-M
,2018,Brazil,2017-08-31 Brazil-Ecuador,2017-08-31,WCQ — CONMEBOL (M),Thu,Home,W,2,0,Ecuador,2,,,,,,0,0,21:45:00,/en/matches/cebe63ab/Brazil-Ecuador-August-31-2017-WCQ----CONMEBOL-M
,2018,Brazil,2017-09-05 Colombia-Brazil,2017-09-05,WCQ — CONMEBOL (M),Tue,Away,D,1,1,Colombia,1,,,,,,0,0,15:30:00,/en/matches/cfd2377b/Colombia-Brazil-September-5-2017-WCQ----CONMEBOL-M
,2018,Brazil,2017-10-05 Bolivia-Brazil,2017-10-05,WCQ — CONMEBOL (M),Thu,Away,D,0,0,Bolivia,0,,,,,,0,0,16:00:00,/en/matches/bef9b8dc/Bolivia-Brazil-October-5-2017-WCQ----CONMEBOL-M
,2018,Brazil,2017-10-10 Brazil-Chile,2017-10-10,WCQ — CONMEBOL (M),Tue,Home,W,3,0,Chile,3,,,,,,0,0,20:30:00,/en/matches/0e1d8129/Brazil-Chile-October-10-2017-WCQ----CONMEBOL-M
,2018,Brazil,2018-03-23 Russia-Brazil,2018-03-23,Friendlies (M),Fri,Away,W,3,0,Russia,3,,,,,,1,1,19:00:00,/en/matches/c96538e5/Russia-Brazil-March-23-2018-Friendlies-M
,2018,Brazil,2018-03-27 Germany-Brazil,2018-03-27,Friendlies (M),Tue,Away,W,1,0,Germany,1,,,,,,0,0,20:45:00,/en/matches/4bee60c1/Germany-Brazil-March-27-2018-Friendlies-M
,2018,Brazil,2018-06-03 Brazil-Croatia,2018-06-03,Friendlies (M),Sun,Home,W,2,0,Croatia,2,,,,,,0,0,15:00:00,/en/matches/cf1c457f/Brazil-Croatia-June-3-2018-Friendlies-M
,2018,Brazil,2018-06-10 Austria-Brazil,2018-06-10,Friendlies (M),Sun,Away,W,3,0,Austria,3,,,,,,0,0,16:00:00,/en/matches/04513031/Austria-Brazil-June-10-2018-Friendlies-M
,2018,Brazil,2018-06-17 Switzerland-Switzerland,2018-06-17,Group stage,Sun,Neutral,D,1,1,Switzerland,1,21,5,23.8,0.05,0.2,0,0,21:00:00,/en/matches/47906d9c/Brazil-Switzerland-June-17-2018-World-Cup
,2018,Brazil,2018-06-22 Costa Rica-Costa Rica,2018-06-22,Group stage,Fri,Neutral,W,2,0,Costa Rica,2,22,10,45.5,0.09,0.2,0,0,15:00:00,/en/matches/be3e2453/Brazil-Costa-Rica-June-22-2018-World-Cup
,2018,Brazil,2018-06-27 Serbia-Serbia,2018-06-27,Group stage,Wed,Neutral,W,2,0,Serbia,2,14,6,42.9,0.14,0.33,0,0,21:00:00,/en/matches/6addd2ab/Serbia-Brazil-June-27-2018-World-Cup
,2018,Brazil,2018-07-02 Mexico-Mexico,2018-07-02,Round of 16,Mon,Neutral,W,2,0,Mexico,2,20,10,50.0,0.1,0.2,0,0,18:00:00,/en/matches/44c9a149/Brazil-Mexico-July-2-2018-World-Cup
,2018,Brazil,2018-07-06 Belgium-Belgium,2018-07-06,Quarter-finals,Fri,Neutral,L,1,2,Belgium,1,27,9,33.3,0.04,0.11,0,0,21:00:00,/en/matches/6fa6550c/Brazil-Belgium-July-6-2018-World-Cup
,2018,Brazil,2018-09-07 United States-Brazil,2018-09-07,Friendlies (M),Fri,Away,W,2,0,United States,2,,,,,,1,1,19:30:00,/en/matches/ef28942f/United-States-Brazil-September-7-2018-Friendlies-M
,2018,Brazil,2018-09-11 Brazil-El Salvador,2018-09-11,Friendlies (M),Tue,Home,W,5,0,El Salvador,5,,,,,,1,1,20:30:00,/en/matches/e7155cfd/Brazil-El-Salvador-September-11-2018-Friendlies-M
,2018,Brazil,2018-10-12 Saudi Arabia-Brazil,2018-10-12,Friendlies (M),Fri,Away,W,2,0,Saudi Arabia,2,,,,,,0,0,21:00:00,/en/matches/6de20f3d/Saudi-Arabia-Brazil-October-12-2018-Friendlies-M
,2018,Brazil,2018-11-16 Brazil-Uruguay,2018-11-16,Friendlies (M),Fri,Home,W,1,0,Uruguay,1,,,,,,1,1,20:00:00,/en/matches/cb1f2aa7/Brazil-Uruguay-November-16-2018-Friendlies-M
