league,season,team,game,date,round,day,venue,result,GF,GA,opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,time,match_report
,2018,Argentina,2015-10-08 Argentina-Ecuador,2015-10-08,WCQ — CONMEBOL (M),Thu,Home,L,0,2,Ecuador,0,,,,,,0,0,21:00:00,/en/matches/edca46a2/Argentina-Ecuador-October-8-2015-WCQ----CONMEBOL-M
,2018,Argentina,2015-10-13 Paraguay-Argentina,2015-10-13,WCQ — CONMEBOL (M),Tue,Away,D,0,0,Paraguay,0,,,,,,0,0,21:00:00,/en/matches/1246547e/Paraguay-Argentina-October-13-2015-WCQ----CONMEBOL-M
,2018,Argentina,2015-11-13 Argentina-Brazil,2015-11-13,WCQ — CONMEBOL (M),Fri,Home,D,1,1,Brazil,1,,,,,,0,0,21:00:00,/en/matches/64e9f118/Argentina-Brazil-November-13-2015-WCQ----CONMEBOL-M
,2018,Argentina,2015-11-17 Colombia-Argentina,2015-11-17,WCQ — CONMEBOL (M),Tue,Away,W,1,0,Colombia,1,,,,,,0,0,15:30:00,/en/matches/b05ac6d9/Colombia-Argentina-November-17-2015-WCQ----CONMEBOL-M
,2018,Argentina,2016-03-24 Chile-Argentina,2016-03-24,WCQ — CONMEBOL (M),Thu,Away,W,2,1,Chile,2,,,,,,0,0,20:30:00,/en/matches/0860f8d4/Chile-Argentina-March-24-2016-WCQ----CONMEBOL-M
,2018,Argentina,2016-03-29 Argentina-Bolivia,2016-03-29,WCQ — CONMEBOL (M),Tue,Home,W,2,0,Bolivia,2,,,,,,1,1,20:30:00,/en/matches/fa5df43d/Argentina-Bolivia-March-29-2016-WCQ----CONMEBOL-M
,2018,Argentina,2016-09-01 Argentina-Uruguay,2016-09-01,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Uruguay,1,,,,,,0,0,20:30:00,/en/matches/1d09fc05/Argentina-Uruguay-September-1-2016-WCQ----CONMEBOL-M
,2018,Argentina,2016-09-06 Venezuela-Argentina,2016-09-06,WCQ — CONMEBOL (M),Tue,Away,D,2,2,Venezuela,2,,,,,,0,0,19:30:00,/en/matches/98a6baff/Venezuela-Argentina-September-6-2016-WCQ----CONMEBOL-M
,2018,Argentina,2016-10-06 Peru-Argentina,2016-10-06,WCQ — CONMEBOL (M),Thu,Away,D,2,2,Peru,2,,,,,,0,0,21:15:00,/en/matches/adabc204/Peru-Argentina-October-6-2016-WCQ----CONMEBOL-M
,2018,Argentina,2016-10-11 Argentina-Paraguay,2016-10-11,WCQ — CONMEBOL (M),Tue,Home,L,0,1,Paraguay,0,,,,,,0,1,20:30:00,/en/matches/a3ea6615/Argentina-Paraguay-October-11-2016-WCQ----CONMEBOL-M
,2018,Argentina,2016-11-10 Brazil-Argentina,2016-11-10,WCQ — CONMEBOL (M),Thu,Away,L,0,3,Brazil,0,,,,,,0,0,21:45:00,/en/matches/20ff1a11/Brazil-Argentina-November-10-2016-WCQ----CONMEBOL-M
,2018,Argentina,2016-11-15 Argentina-Colombia,2016-11-15,WCQ — CONMEBOL (M),Tue,Home,W,3,0,Colombia,3,,,,,,0,0,20:30:00,/en/matches/6094a77a/Argentina-Colombia-November-15-2016-WCQ----CONMEBOL-M
,2018,Argentina,2017-03-23 Argentina-Chile,2017-03-23,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Chile,1,,,,,,1,1,20:30:00,/en/matches/6810d685/Argentina-Chile-March-23-2017-WCQ----CONMEBOL-M
,2018,Argentina,2017-03-28 Bolivia-Argentina,2017-03-28,WCQ — CONMEBOL (M),Tue,Away,L,0,2,Bolivia,0,,,,,,0,0,16:00:00,/en/matches/b1e0c7bd/Bolivia-Argentina-March-28-2017-WCQ----CONMEBOL-M
